100 100
0 99 91
0 75 0
0 93 40
0 93 12
0 93 9
0 92 94
0 92 41
0 91 95
0 91 44
0 91 29
0 89 94
0 89 80
0 89 75
0 89 63
0 89 41
0 89 8
0 89 1
0 88 85
0 88 82
0 88 32
0 88 22
0 88 11
0 87 91
0 87 89
0 87 83
0 87 77
0 87 61
0 87 38
0 87 37
0 87 31
0 87 21
0 86 90
0 86 86
0 86 79
0 86 53
0 86 48
0 86 43
0 86 40
0 86 18
0 86 10
0 86 6
0 85 73
0 85 50
0 85 49
0 85 43
0 85 42
0 85 26
0 85 18
0 85 17
0 85 14
0 84 96
0 84 91
0 84 87
0 84 76
0 84 63
0 84 34
0 84 19
0 84 16
0 83 87
0 83 74
0 83 65
0 83 63
0 83 61
0 83 52
0 83 48
0 83 45
0 83 34
0 83 0
0 82 97
0 82 95
0 82 93
0 82 92
0 82 87
0 82 77
0 82 74
0 82 67
0 82 42
0 82 36
0 82 35
0 82 34
0 82 14
0 82 8
0 82 6
0 81 95
0 81 88
0 81 76
0 81 75
0 81 72
0 81 60
0 81 52
0 81 48
0 81 15
0 81 3
0 80 97
0 80 96
0 80 90
0 80 86
0 80 84
0 80 59
0 80 57
0 80 54
0 80 45
0 80 40
0 80 33
0 80 27
0 80 25
0 80 19
0 80 14
0 80 10
0 79 90
0 79 85
0 79 76
0 79 66
0 79 63
0 79 62
0 79 60
0 79 59
0 79 56
0 79 47
0 79 40
0 79 38
0 79 35
0 79 25
0 79 19
0 79 15
0 79 10
0 79 9
0 79 8
0 79 3
0 78 97
0 78 95
0 78 92
0 78 90
0 78 84
0 78 79
0 78 77
0 78 75
0 78 73
0 78 72
0 78 68
0 78 65
0 78 64
0 78 59
0 78 57
0 78 53
0 78 51
0 78 49
0 78 42
0 78 36
0 78 34
0 78 32
0 78 31
0 78 28
0 78 27
0 78 25
0 78 23
0 78 20
0 78 16
0 78 15
0 78 12
0 78 11
0 78 7
0 78 2
0 78 0
0 77 96
0 77 92
0 77 91
0 77 86
0 77 85
0 77 84
0 77 83
0 77 80
0 77 79
0 77 78
0 77 77
0 77 75
0 77 74
0 77 72
0 77 68
0 77 67
0 77 59
0 77 55
0 77 54
0 77 53
0 77 49
0 77 47
0 77 44
0 77 41
0 77 35
0 77 34
0 77 31
0 77 30
0 77 29
0 77 28
0 77 27
0 77 26
0 77 25
0 77 22
0 77 18
0 77 16
0 77 12
0 77 11
0 77 10
0 77 7
0 77 5
0 77 3
0 77 2
0 77 0
0 76 89
0 76 88
0 76 87
0 76 86
0 76 84
0 76 82
0 76 81
0 76 79
0 76 76
0 76 75
0 76 73
0 76 72
0 76 70
0 76 69
0 76 68
0 76 67
0 76 65
0 76 62
0 76 58
0 76 53
0 76 49
0 76 47
0 76 44
0 76 43
0 76 41
0 76 39
0 76 38
0 76 37
0 76 34
0 76 33
0 76 29
0 76 28
0 76 27
0 76 26
0 76 22
0 76 21
0 76 16
0 76 13
0 76 12
0 76 11
0 76 8
0 76 7
0 76 6
0 76 2
0 76 1
0 76 0
0 75 99
0 75 98
0 75 96
0 75 95
0 75 94
0 75 93
0 75 92
0 75 89
0 75 84
0 75 83
0 75 82
0 75 81
0 75 79
0 75 78
0 75 74
0 75 72
0 75 71
0 75 69
0 75 66
0 75 65
0 75 64
0 75 63
0 75 62
0 75 60
0 75 59
0 75 58
0 75 57
0 75 55
0 75 54
0 75 52
0 75 51
0 75 50
0 75 49
0 75 48
0 75 47
0 75 46
0 75 45
0 75 43
0 75 42
0 75 40
0 75 39
0 75 38
0 75 37
0 75 36
0 75 35
0 75 34
0 75 30
0 75 29
0 75 28
0 75 26
0 75 25
0 75 23
0 75 22
0 75 20
0 75 19
0 75 18
0 75 17
0 75 16
0 75 15
0 75 13
0 75 11
0 75 9
0 75 8
0 75 7
0 75 6
0 75 4
0 75 3
0 75 1
0 74 49
0 74 3
0 73 58
0 73 7
0 72 82
0 72 61
0 91 51
0 72 17
0 73 74
0 73 75
0 72 48
0 91 53
0 72 49
0 72 42
0 91 45
0 72 43
0 69 97
0 69 98
0 68 90
0 68 91
0 68 14
0 68 15
0 80 89
0 66 88
0 78 89
0 64 91
0 61 45
0 61 46
0 60 76
0 75 61
0 59 80
0 72 12
0 72 10
0 72 4
0 54 85
0 54 54
0 54 55
0 53 39
0 53 41
0 51 18
0 51 21
0 49 79
0 49 80
0 48 65
0 67 17
0 67 11
0 48 56
0 66 87
0 48 63
0 66 64
0 48 23
0 47 81
0 47 82
0 47 40
0 47 44
0 64 80
0 64 75
0 64 45
0 46 97
0 62 54
0 62 58
0 45 82
0 42 18
0 42 32
0 59 12
0 41 35
0 58 65
0 58 66
0 58 64
0 58 50
0 40 5
0 58 24
0 39 60
0 37 56
0 37 66
0 56 16
0 56 28
0 36 81
0 36 69
0 36 76
0 55 92
0 36 45
0 36 17
0 55 79
0 55 71
0 34 23
0 54 62
0 34 27
0 52 52
0 31 7
0 52 19
0 30 36
0 28 84
0 51 67
0 29 11
0 49 49
0 49 90
0 23 81
0 22 87
0 49 29
0 23 15
0 48 12
0 48 25
0 48 15
0 47 94
0 48 0
0 21 46
0 20 64
0 47 24
0 47 18
0 46 31
0 46 56
0 19 59
0 45 96
0 46 0
0 18 77
0 43 63
0 16 98
0 16 62
0 42 96
0 16 66
0 13 72
0 13 78
0 35 61
0 12 63
0 31 85
0 32 0
0 10 43
0 30 70
0 9 64
0 29 13
0 28 78
0 28 32
0 8 25
0 28 30
0 28 2
0 27 85
0 27 48
0 27 36
0 8 13
0 27 12
0 8 0
0 26 58
0 26 87
0 26 60
0 22 39
0 22 42
0 6 34
0 6 27
0 22 0
0 6 32
0 20 73
0 20 99
0 6 18
0 19 83
0 20 3
0 19 96
0 19 43
0 19 75
0 5 85
0 17 47
0 17 73
0 17 51
0 16 85
0 17 15
0 5 5
0 14 94
0 15 44
0 15 32
0 14 91
0 14 62
0 14 53
0 4 42
0 12 70
0 4 9
0 12 29
0 12 37
0 12 19
0 12 13
0 12 3
0 11 65
0 4 0
0 10 47
0 10 53
0 3 54
0 8 80
0 9 48
0 3 49
0 8 28
0 3 5
0 7 21
0 7 54
0 7 48
0 2 47
0 2 55
0 5 67
0 5 77
0 5 65
0 5 56
0 5 45
0 4 94
0 1 72
0 4 78
0 4 83
0 4 69
0 4 61
0 4 57
0 4 34
0 1 59
0 1 30
0 4 25
0 3 97
0 2 61
0 2 65
0 1 93
0 0 78
0 0 84
0 0 24
0 0 26
0 0 52
0 0 35
0 0 0
0 0 12
0 0 90
0 0 64
0 1 4
0 1 42
0 0 69
0 2 85
0 2 87
0 3 43
0 3 52
0 1 18
0 4 31
0 4 91
0 5 88
0 5 95
0 6 16
0 2 1
0 2 37
0 6 86
0 6 22
0 7 57
0 7 68
0 2 74
0 7 95
0 8 60
0 8 58
0 9 75
0 10 29
0 11 20
0 11 34
0 12 68
0 13 4
0 12 80
0 4 13
0 4 17
0 13 26
0 14 36
0 15 13
0 15 48
0 15 68
0 16 12
0 16 17
0 16 27
0 16 33
0 4 87
0 16 49
0 17 44
0 17 75
0 18 6
0 18 25
0 18 70
0 18 94
0 20 20
0 20 44
0 20 61
0 20 66
0 21 25
0 21 27
0 21 40
0 22 32
0 22 59
0 22 62
0 6 36
0 6 46
0 6 71
0 6 74
0 22 79
0 23 74
0 7 24
0 7 31
0 7 41
0 23 83
0 25 90
0 25 96
0 26 95
0 27 40
0 28 75
0 29 43
0 29 23
0 29 50
0 8 46
0 8 52
0 29 72
0 42 68
0 30 31
0 8 93
0 8 97
0 31 44
0 31 29
0 9 67
0 31 46
0 32 8
0 32 37
0 32 77
0 10 50
0 33 6
0 11 18
0 33 46
0 33 67
0 33 85
0 11 84
0 34 21
0 12 6
0 34 31
0 34 78
0 35 56
0 36 5
0 35 79
0 36 12
0 36 36
0 36 41
0 12 82
0 36 67
0 36 84
0 13 42
0 13 59
0 13 66
0 37 82
0 36 98
0 14 9
0 14 30
0 37 85
0 14 49
0 38 54
0 38 94
0 14 76
0 39 13
0 39 31
0 39 33
0 39 89
0 15 34
0 15 40
0 39 95
0 40 91
0 41 8
0 16 10
0 41 41
0 41 76
0 16 19
0 41 81
0 16 30
0 42 13
0 16 39
0 42 54
0 16 60
0 43 49
