100 100
0 51 46
0 99 92
0 29 72
0 80 62
0 99 65
0 99 58
1 58 56
0 58 78
0 99 0
0 27 78
0 98 66
1 27 38
0 98 58
0 98 53
0 98 39
0 29 5
0 73 78
0 60 13
1 59 96
0 97 76
0 97 70
0 27 69
0 3 49
0 97 67
2 24 91
1 60 15
0 60 27
0 60 60
0 97 25
0 97 18
3 3 93
0 97 12
0 28 65
0 96 98
0 96 97
0 96 96
0 60 82
0 74 27
1 28 97
0 74 31
0 96 61
3 21 94
0 96 60
0 74 60
0 96 37
0 79 98
3 0 54
0 96 23
1 61 46
0 29 2
0 96 0
0 95 93
0 95 69
0 27 67
0 61 91
0 95 65
0 95 43
2 15 13
0 95 40
2 29 83
0 95 28
0 19 25
0 62 88
0 94 66
0 80 60
1 13 98
0 94 60
0 94 54
0 94 32
1 75 14
0 93 85
0 93 79
0 93 75
0 93 62
0 93 50
0 14 16
0 28 48
3 29 28
0 64 23
0 93 35
0 93 16
0 75 73
0 75 87
0 92 88
0 92 81
0 64 75
0 92 47
0 29 94
1 64 80
0 76 24
0 64 90
1 29 87
0 92 2
0 65 32
0 91 88
0 91 68
0 91 63
0 91 56
1 65 49
0 29 85
0 91 23
0 76 90
0 77 20
0 90 51
0 90 39
0 90 33
0 77 27
0 29 35
0 90 25
0 66 87
0 89 78
0 89 67
0 89 65
0 3 19
0 67 37
0 89 38
0 89 23
1 77 44
0 67 81
0 77 56
1 7 39
0 7 48
0 88 99
1 68 4
0 29 20
0 88 80
0 68 32
0 29 9
0 77 67
0 88 18
0 88 5
0 88 1
0 87 99
1 69 14
0 28 70
0 87 68
0 17 93
0 28 61
0 69 32
0 69 57
0 69 64
3 28 54
0 87 18
0 69 78
0 87 8
1 70 0
1 15 83
0 86 84
0 78 26
1 9 23
0 86 55
1 70 14
0 86 26
0 86 15
0 28 32
0 86 13
1 78 81
3 17 11
0 85 78
0 85 71
1 28 11
0 70 71
0 85 60
0 27 95
0 27 92
0 71 0
0 71 8
0 71 22
0 71 44
0 84 84
2 16 27
0 84 68
0 84 49
0 72 14
0 83 95
0 83 84
1 27 87
0 83 74
0 83 61
2 10 91
0 27 86
0 83 55
0 72 98
0 83 39
0 27 75
0 57 95
0 98 82
0 73 28
0 59 29
3 27 53
0 59 16
0 59 62
0 97 94
0 27 44
0 27 34
0 12 4
0 95 83
0 4 25
0 14 48
0 95 67
3 27 10
1 12 43
0 61 88
0 74 87
1 3 35
1 0 51
0 94 93
0 62 59
1 63 2
0 63 97
0 81 48
0 93 0
0 92 92
0 80 80
0 77 6
1 77 8
0 89 77
0 88 94
3 12 73
1 0 5
0 32 54
0 32 43
0 87 81
0 27 81
0 69 37
0 69 53
0 28 43
1 28 41
1 80 32
0 78 28
1 28 82
0 22 25
1 29 91
0 21 85
3 0 56
0 85 16
0 79 29
0 71 69
0 73 25
0 81 59
0 43 4
0 77 75
0 80 36
0 21 12
0 2 76
0 3 29
0 3 23
0 8 81
0 14 78
0 0 78
0 11 56
0 79 37
0 79 34
0 79 31
0 2 63
1 79 18
1 7 92
0 78 92
0 18 22
2 3 69
0 21 5
0 21 49
0 78 35
0 78 16
2 15 43
0 5 36
0 5 22
0 77 68
1 77 59
3 12 82
0 15 62
0 15 64
0 37 97
0 38 48
0 77 30
0 76 96
0 50 56
1 76 72
0 81 13
0 81 15
1 10 54
0 75 91
0 81 49
0 81 55
0 8 29
3 10 86
0 81 56
0 75 24
0 75 23
3 10 12
3 9 81
0 81 72
0 82 9
1 74 76
0 74 72
0 82 41
1 74 38
0 16 98
0 82 47
0 73 55
0 82 94
0 83 19
0 12 45
0 72 97
0 83 29
1 72 74
0 83 69
0 83 71
0 72 37
0 72 33
0 83 99
2 17 51
0 12 73
0 84 17
0 27 17
0 71 93
0 84 29
